product,title,rating,body
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Great value, no headphone jack",4.0,"I bought this to be a lightweight headphone set for my daughter's birthday a few months back, and it has been with us for long enough that I feel happy to review it.If you want a reliable headset from a known brand at a good price, then this is an excellent contender. It has been well designed for rough handling and abuse without feeling too cheap. The money saved appears to have been used on decent enough drivers and good battery life. These are small, good for kids and travelling, but if you want to be insulated from the world the ear cups go on your ears, not over them.Pros:•Lightweight•Durable•Good sound production•Charges via USB C•Long battery life•Fairly Comfortable•Seems to cancel noise adequately•Budget design means cheap materials, excellent for a headset that is likely to be abusedCons:•No headphone jack•Cannot connect whilst charging•Small ear cups that don't seal around your ears•Budget design means cheap materials, the headset feels plasticy to handle"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Bluetooth,5.0,Easy to set up on Bluetooth (having read the instructions first)lasts a good while on build in rechargeable battery also. seem ok so far.
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Very pleased,5.0,"Due to an injury I have been sleeping on the couch, more comfortable than a bed. I bought these to watch TV when every one else has gone to bed. Very good."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",High Quality and Durable,5.0,I bought these to wear to work as a gardener. The sound quality is very good and it’s easy to control the volume using the buttons on the side. The noise cancellation is of a high quality under normal circumstances but when it comes to using power tools it didn’t help much. They suffered a fair bit of wear and tear from the outside work but they work incredibly well and seem to be very durable. Very good value for money!
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Lasted 11 months.,5.0,"These headphones were great, used them daily for 11 months and then just recently the flimsy plastic SNAPPED leaving one of the ears hanging on by the wire…they are good value for money but the plastic is very cheap so just be careful !!"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great for the price.,5.0,"What can I say? For the price these headphones are great! These are my 1st Bluetooth headphones I have owned.Obviously, they are not going to sound as good as high end headphones but for £35 the sound is still good. Other reviews mentioned that they wasn't  loud and the sound was low? I personally haven't had this problem. I used them for around an hour a day for the 1st 9 days and they were still fully charged.Unlike some reviews I find these to be a comfortable wear.A steal at the price. I would highly recommend."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Awesomely Good.,5.0,"Strong battery, Good sound quality!, Money worthy!. So much lovely. I feel like its the best product delivered to me by Amazon so far!"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Really, really good, but not life changing.",4.0,"They work and look great, just not the revolution in bass i was hoping for. i guess i would need to pay more for that! great for running with at the gym. Battery life like most things is good at the start. who knows what will happen after a year or 2. paired with bluetooth to my android phone without any issues.Prime member purchase.Positive experience.Arrived in good condition.As described. Same as in picture.Arrived on time.Packaging was good.Works as expected.Recommended."
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black",Great headphones for the price,5.0,"I've charged them once so far and they're still fully charged after hours or walking around in them, going to the gym etc. The sound is good and they get quite loud if needed. I can't seem to get them to work properly for calls and it always plays the sound of my mic back to me too, but that's probably something I'm doing 😅"
"Sony WH-CH510 Wireless Bluetooth Headphones with Mic, 35 Hours Battery Life with Quick Charge, On-ear Style, Hands-Free Call, Voice Assistant - Black","Great sound, very light, long battery life",5.0,"I bought this to replace my Sony MDRIF140K infra-red headphones that I bought about a decade ago; they started to have some electrical problems (not surprising after so long). I was looking for something nice and light (the old ones were 125g); these ones are of a similar weight (132g). The Bluetooth range is very good (I also bought the Bluetooth adapter suggested as a bundle, TP-Link Nano USB Bluetooth 4.0 Adapter), which is an advantage over the old IR technology.The sound quality is excellent -- great frequency response and noise free. I had tried various wireless headphones and these have the best sound quality by far. They compare favourably with my Sennheiser Momentum 2.0 wired headphones. The on-ear pads block out a lot of ambient noise (possibly even a little too much -- you need to remove them to hear someone speak who is in the room).The rechargeable battery lasts a long time; I usually keep it turned on most of the day, even when not using them, and a full charge lasts a few days. I had to buy a longer charging cable since the included one is very short. But I use this long cable to also charge my new iPad mini, which also uses USB C.My major complaint is that the headphones are a little tight on my head, particularly since I wear glasses. The old Sony IR headphones were a lot more comfortable.I have used these on Zoom calls and they are very good for that, particularly since they are not very big so they do not look too goofy. I have not used the in-built microphone since I always use an external mic.All in all, I will give these headphones 5 stars, though I would actually have given them 4.5 stars if I could, marking them down a bit for being too tight for long-term use. Given the low price (I paid £35), I think they are excellent value."
